Kurzbezeichnung,Landeswahlkreis,Partei
SPÖ,1,Sozialdemokratische Partei Österreichs
SPÖ,2,Sozialdemokratische Partei Österreichs
SPÖ,3,Sozialdemokratische Partei Österreichs
SPÖ,4,Sozialdemokratische Partei Österreichs
SPÖ,5,Sozialdemokratische Partei Österreichs
SPÖ,6,Sozialdemokratische Partei Österreichs
SPÖ,7,Sozialdemokratische Partei Österreichs
SPÖ,8,Sozialdemokratische Partei Österreichs
SPÖ,9,Sozialdemokratische Partei Österreichs
ÖVP,1,Liste Sebastian Kurz - die neue Volkspartei
ÖVP,2,Liste Sebastian Kurz - die neue Volkspartei
ÖVP,3,Liste Sebastian Kurz - die neue Volkspartei
ÖVP,4,Liste Sebastian Kurz - die neue Volkspartei
ÖVP,5,Liste Sebastian Kurz - die neue Volkspartei
ÖVP,6,Liste Sebastian Kurz - die neue Volkspartei
ÖVP,7,Liste Sebastian Kurz - die neue Volkspartei
ÖVP,8,Liste Sebastian Kurz - die neue Volkspartei
ÖVP,9,Liste Sebastian Kurz - die neue Volkspartei
FPÖ,1,Freiheitliche Partei Österreichs
FPÖ,2,Freiheitliche Partei Österreichs
FPÖ,3,Freiheitliche Partei Österreichs
FPÖ,4,Freiheitliche Partei Österreichs
FPÖ,5,Freiheitliche Partei Österreichs
FPÖ,6,Freiheitliche Partei Österreichs
FPÖ,7,Freiheitliche Partei Österreichs
FPÖ,8,Freiheitliche Partei Österreichs
FPÖ,9,Freiheitliche Partei Österreichs
GRÜNE,1,Die Grünen - Die Grüne Alternative
GRÜNE,2,Die Grünen - Die Grüne Alternative
GRÜNE,3,Die Grünen - Die Grüne Alternative
GRÜNE,4,Die Grünen - Die Grüne Alternative
GRÜNE,5,Die Grünen - Die Grüne Alternative
GRÜNE,6,Die Grünen - Die Grüne Alternative
GRÜNE,7,Die Grünen - Die Grüne Alternative
GRÜNE,8,Die Grünen - Die Grüne Alternative
GRÜNE,9,Die Grünen - Die Grüne Alternative
NEOS,1,"NEOS - Das Neue Österreich gemeinsam mit Irmgard Griss, Bürgerinnen und Bürger für Freiheit und Verantwortung"
NEOS,2,"NEOS - Das Neue Österreich gemeinsam mit Irmgard Griss, Bürgerinnen und Bürger für Freiheit und Verantwortung"
NEOS,3,"NEOS - Das Neue Österreich gemeinsam mit Irmgard Griss, Bürgerinnen und Bürger für Freiheit und Verantwortung"
